Date,Region,Product,Category,Quantity,Unit_Price,Discount,Revenue,Profit,Customer_Type
2023-01-01,West,Product_44,Beauty,4,475.6,0.05,1807.29,306.76,New
2023-01-01,East,Product_43,Clothing,3,54.49,0.0,163.46,19.08,New
2023-01-01,North,Product_31,Electronics,3,15.19,0.15,38.73,8.39,New
2023-01-01,South,Product_11,Home Decor,4,496.14,0.05,1885.35,324.9,New
2023-01-01,East,Product_30,Clothing,1,149.16,0.05,141.7,11.04,New
2023-01-01,North,Product_50,Groceries,4,120.22,0.0,480.89,83.52,Returning
2023-01-01,East,Product_35,Groceries,4,298.25,0.0,1192.98,204.61,New
2023-01-01,South,Product_33,Electronics,3,11.57,0.1,31.23,5.08,Returning
2023-01-01,East,Product_42,Electronics,2,53.35,0.05,101.36,13.99,New
2023-01-01,Central,Product_2,Electronics,1,417.43,0.0,417.43,53.52,New
2023-01-01,South,Product_13,Beauty,4,159.3,0.0,637.19,101.53,New
2023-01-01,East,Product_44,Groceries,3,421.93,0.0,1265.79,163.33,Returning
2023-01-01,North,Product_39,Electronics,3,461.33,0.0,1383.98,123.45,New
2023-01-01,North,Product_26,Clothing,4,423.04,0.05,1607.57,253.9,Returning
2023-01-01,North,Product_5,Electronics,1,144.06,0.0,144.06,11.26,Returning
2023-01-01,South,Product_32,Clothing,1,12.74,0.0,12.74,1.64,New
2023-01-01,East,Product_29,Clothing,3,408.65,0.05,1164.66,228.04,Returning
2023-01-01,East,Product_11,Clothing,1,463.52,0.05,440.34,102.6,Returning
2023-01-01,North,Product_39,Home Decor,4,168.79,0.0,675.18,75.75,Returning
2023-01-01,Central,Product_49,Electronics,3,297.69,0.0,893.08,144.9,Returning
2023-01-01,West,Product_29,Groceries,3,358.06,0.05,1020.46,165.58,Returning
2023-01-01,North,Product_14,Beauty,3,25.01,0.05,71.29,5.15,Returning
2023-01-01,Central,Product_34,Clothing,3,20.56,0.05,58.59,6.61,Returning
2023-01-01,Central,Product_12,Groceries,2,73.97,0.05,140.54,22.2,New
2023-01-01,North,Product_11,Groceries,1,43.11,0.0,43.11,3.55,Returning
2023-01-01,West,Product_28,Home Decor,1,151.34,0.0,151.34,21.39,New
2023-01-01,Central,Product_25,Groceries,4,446.82,0.0,1787.27,377.99,Returning
2023-01-01,West,Product_11,Groceries,3,453.88,0.0,1361.64,244.47,New
2023-01-01,East,Product_48,Electronics,1,431.06,0.0,431.06,65.59,Returning
2023-01-01,East,Product_17,Groceries,1,347.76,0.0,347.76,34.37,New
2023-01-01,North,Product_36,Electronics,4,261.8,0.05,994.85,122.09,Returning
2023-01-01,South,Product_2,Electronics,4,127.2,0.05,483.37,93.03,New
2023-01-01,South,Product_4,Clothing,4,23.26,0.05,88.38,13.31,New
2023-01-01,South,Product_42,Groceries,1,175.81,0.05,167.02,31.09,Returning
2023-01-01,East,Product_40,Clothing,2,492.9,0.0,985.79,181.81,Returning
2023-01-01,South,Product_9,Clothing,3,124.87,0.1,337.15,48.57,Returning
2023-01-01,North,Product_21,Home Decor,2,270.21,0.0,540.42,117.3,Returning
2023-01-01,South,Product_10,Groceries,2,349.43,0.1,628.97,72.45,New
2023-01-01,Central,Product_16,Electronics,2,258.49,0.0,516.97,92.56,New
2023-01-01,West,Product_23,Groceries,1,201.8,0.0,201.8,43.9,Returning
2023-01-01,South,Product_21,Groceries,1,61.17,0.1,55.05,12.41,New
2023-01-01,East,Product_5,Electronics,4,91.6,0.15,311.45,47.75,New
2023-01-01,South,Product_49,Electronics,1,51.09,0.1,45.98,10.58,Returning
2023-01-01,West,Product_19,Electronics,1,143.04,0.05,135.89,29.8,Returning
2023-01-01,South,Product_1,Clothing,2,391.04,0.05,742.97,49.65,New
2023-01-01,South,Product_33,Beauty,2,336.15,0.0,672.3,83.67,Returning
2023-01-01,East,Product_25,Clothing,1,7.51,0.0,7.51,1.2,Returning
2023-01-01,East,Product_38,Home Decor,4,497.26,0.0,1989.03,106.64,Returning
2023-01-01,Central,Product_41,Electronics,4,374.51,0.05,1423.15,312.87,Returning
2023-01-01,South,Product_16,Home Decor,1,273.56,0.0,273.56,48.49,New
2023-01-01,West,Product_15,Electronics,2,486.64,0.0,973.28,222.31,Returning
2023-01-01,Central,Product_17,Electronics,2,178.29,0.05,338.75,62.26,Returning
2023-01-01,East,Product_4,Clothing,4,362.61,0.0,1450.46,79.58,Returning
2023-01-01,Central,Product_4,Home Decor,1,497.3,0.0,497.3,52.67,Returning
2023-01-01,Central,Product_25,Groceries,4,12.65,0.1,45.54,6.18,Returning
2023-01-01,Central,Product_44,Clothing,3,490.26,0.0,1470.79,163.46,New
2023-01-01,East,Product_26,Home Decor,1,161.88,0.0,161.88,26.12,Returning
2023-01-01,North,Product_50,Groceries,2,465.36,0.0,930.72,85.42,Returning
2023-01-01,South,Product_16,Groceries,3,74.34,0.0,223.02,50.29,Returning
